RETAILER_ID	RETAILER	DISP	PRICE
1	ALBANY,NY - PRICE CHOPPER	0.000000	2.846737
1	ALBANY,NY - PRICE CHOPPER	0.000000	2.884840
1	ALBANY,NY - PRICE CHOPPER	0.000000	3.049924
1	ALBANY,NY - PRICE CHOPPER	0.000000	2.920530
1	ALBANY,NY - PRICE CHOPPER	0.169500	2.623426
1	ALBANY,NY - PRICE CHOPPER	0.000000	2.675607
1	ALBANY,NY - PRICE CHOPPER	0.000000	2.960684
1	ALBANY,NY - PRICE CHOPPER	0.000000	2.648052
1	ALBANY,NY - PRICE CHOPPER	0.187000	2.561728
1	ALBANY,NY - PRICE CHOPPER	0.342500	2.220486
2	ATLANTA - KROGER CO	0.045865	2.585988
2	ATLANTA - KROGER CO	0.025775	2.379148
2	ATLANTA - KROGER CO	0.064191	2.379067
2	ATLANTA - KROGER CO	0.066049	2.408894
2	ATLANTA - KROGER CO	0.045185	2.366985
2	ATLANTA - KROGER CO	0.050012	2.424683
2	ATLANTA - KROGER CO	0.000000	3.325460
2	ATLANTA - KROGER CO	0.023610	2.893145
2	ATLANTA - KROGER CO	0.000000	3.144486
2	ATLANTA - KROGER CO	0.046162	2.481359
3	ATLANTA - WINN DIXIE	0.212000	2.639545
3	ATLANTA - WINN DIXIE	0.000000	2.692330
3	ATLANTA - WINN DIXIE	0.000000	2.706964
3	ATLANTA - WINN DIXIE	0.000000	2.709629
3	ATLANTA - WINN DIXIE	0.000000	2.715064
3	ATLANTA - WINN DIXIE	0.000000	2.693674
3	ATLANTA - WINN DIXIE	0.000000	2.579010
3	ATLANTA - WINN DIXIE	0.000000	2.710289
3	ATLANTA - WINN DIXIE	0.186000	2.640581
3	ATLANTA - WINN DIXIE	0.076041	2.698337
4	BALTI/WASH - GIANT FOOD INC	0.000000	3.795441
4	BALTI/WASH - GIANT FOOD INC	0.000000	3.801813
4	BALTI/WASH - GIANT FOOD INC	0.000000	3.053225
4	BALTI/WASH - GIANT FOOD INC	0.000000	3.769574
4	BALTI/WASH - GIANT FOOD INC	0.000000	3.716331
4	BALTI/WASH - GIANT FOOD INC	0.000000	3.780012
4	BALTI/WASH - GIANT FOOD INC	0.081000	3.053379
4	BALTI/WASH - GIANT FOOD INC	0.000000	3.777885
4	BALTI/WASH - GIANT FOOD INC	0.126000	3.794942
4	BALTI/WASH - GIANT FOOD INC	0.000000	3.778696
5	BALTI/WASH - SAFEWAY	0.058500	3.932223
5	BALTI/WASH - SAFEWAY	0.000000	3.987176
5	BALTI/WASH - SAFEWAY	0.074500	3.186402
5	BALTI/WASH - SAFEWAY	0.115000	3.986756
5	BALTI/WASH - SAFEWAY	0.000000	4.119604
5	BALTI/WASH - SAFEWAY	0.075000	4.119480
5	BALTI/WASH - SAFEWAY	0.058000	4.120574
5	BALTI/WASH - SAFEWAY	0.000000	3.320268
5	BALTI/WASH - SAFEWAY	0.036500	2.920301
5	BALTI/WASH - SAFEWAY	0.000000	3.986778
6	BALTI/WASH - SUPER FRESH	0.000000	3.796610
6	BALTI/WASH - SUPER FRESH	0.000000	2.851205
6	BALTI/WASH - SUPER FRESH	0.000000	3.879121
6	BALTI/WASH - SUPER FRESH	0.000000	2.653274
6	BALTI/WASH - SUPER FRESH	0.000000	3.773333
6	BALTI/WASH - SUPER FRESH	0.000000	3.934314
6	BALTI/WASH - SUPER FRESH	0.000000	3.812500
6	BALTI/WASH - SUPER FRESH	0.000000	3.991051
6	BALTI/WASH - SUPER FRESH	0.000000	3.908490
6	BALTI/WASH - SUPER FRESH	0.000000	3.950053
7	BIRMINGHAM/MONTGOM - BRUNOS	0.180053	2.319594
7	BIRMINGHAM/MONTGOM - BRUNOS	0.075272	2.150139
7	BIRMINGHAM/MONTGOM - BRUNOS	0.277375	2.310977
7	BIRMINGHAM/MONTGOM - BRUNOS	0.079620	2.280898
7	BIRMINGHAM/MONTGOM - BRUNOS	0.066233	2.522353
7	BIRMINGHAM/MONTGOM - BRUNOS	0.575000	2.279905
7	BIRMINGHAM/MONTGOM - BRUNOS	0.072508	2.588902
7	BIRMINGHAM/MONTGOM - BRUNOS	0.105330	2.345350
7	BIRMINGHAM/MONTGOM - BRUNOS	0.243746	2.320908
7	BIRMINGHAM/MONTGOM - BRUNOS	0.081490	2.287561
8	BIRMINGHAM/MONTGOM - KROGER	0.305000	2.253190
8	BIRMINGHAM/MONTGOM - KROGER	0.000000	2.273450
8	BIRMINGHAM/MONTGOM - KROGER	0.447000	2.519320
8	BIRMINGHAM/MONTGOM - KROGER	0.305000	2.253362
8	BIRMINGHAM/MONTGOM - KROGER	0.000000	2.040669
8	BIRMINGHAM/MONTGOM - KROGER	0.000000	2.654286
8	BIRMINGHAM/MONTGOM - KROGER	0.366000	2.387033
8	BIRMINGHAM/MONTGOM - KROGER	0.000000	2.027397
8	BIRMINGHAM/MONTGOM - KROGER	0.000000	2.371533
8	BIRMINGHAM/MONTGOM - KROGER	0.491000	2.624733
9	BIRMINGHAM/MONTGOM - WINN DIXIE	0.019780	2.398286
9	BIRMINGHAM/MONTGOM - WINN DIXIE	0.009943	2.349797
9	BIRMINGHAM/MONTGOM - WINN DIXIE	0.068250	2.296660
9	BIRMINGHAM/MONTGOM - WINN DIXIE	0.066518	2.297595
9	BIRMINGHAM/MONTGOM - WINN DIXIE	0.000000	2.301360
9	BIRMINGHAM/MONTGOM - WINN DIXIE	0.041473	2.319017
9	BIRMINGHAM/MONTGOM - WINN DIXIE	0.045874	2.288338
9	BIRMINGHAM/MONTGOM - WINN DIXIE	0.020869	2.285510
9	BIRMINGHAM/MONTGOM - WINN DIXIE	0.046943	2.274751
9	BIRMINGHAM/MONTGOM - WINN DIXIE	0.061390	2.308057
10	BOSTON - SHAWS	0.000000	2.418358
10	BOSTON - SHAWS	0.000000	2.459169
10	BOSTON - SHAWS	0.000000	2.429412
10	BOSTON - SHAWS	0.000000	2.457166
10	BOSTON - SHAWS	0.000000	2.420685
10	BOSTON - SHAWS	0.000000	2.458396
10	BOSTON - SHAWS	0.000000	2.441300
10	BOSTON - SHAWS	0.000000	2.457607
10	BOSTON - SHAWS	0.000000	2.450731
10	BOSTON - SHAWS	0.000000	2.443745
11	BOSTON - STAR MARKET	0.000000	3.136066
11	BOSTON - STAR MARKET	0.179500	3.115924
11	BOSTON - STAR MARKET	0.000000	3.127483
11	BOSTON - STAR MARKET	0.000000	3.134503
11	BOSTON - STAR MARKET	0.000000	3.125512
11	BOSTON - STAR MARKET	0.000000	3.120499
11	BOSTON - STAR MARKET	0.000000	3.139601
11	BOSTON - STAR MARKET	0.000000	3.127496
11	BOSTON - STAR MARKET	0.000000	3.130070
11	BOSTON - STAR MARKET	0.000000	3.117904
12	BOSTON - STOP & SHOP	0.000000	2.493401
12	BOSTON - STOP & SHOP	0.000000	2.564379
12	BOSTON - STOP & SHOP	0.000000	2.343501
12	BOSTON - STOP & SHOP	0.000000	2.386762
12	BOSTON - STOP & SHOP	0.000000	2.514383
12	BOSTON - STOP & SHOP	0.000000	2.401464
12	BOSTON - STOP & SHOP	0.000000	2.534657
12	BOSTON - STOP & SHOP	0.000000	2.519569
12	BOSTON - STOP & SHOP	0.000000	2.470857
12	BOSTON - STOP & SHOP	0.000000	2.000000
13	BUFFALO/ROCHESTER - TOPS MARKETS	0.500000	1.973340
13	BUFFALO/ROCHESTER - TOPS MARKETS	0.119640	1.706695
13	BUFFALO/ROCHESTER - TOPS MARKETS	0.000000	2.417843
13	BUFFALO/ROCHESTER - TOPS MARKETS	0.537000	2.360000
13	BUFFALO/ROCHESTER - TOPS MARKETS	0.140500	3.136220
13	BUFFALO/ROCHESTER - TOPS MARKETS	0.128500	3.240427
13	BUFFALO/ROCHESTER - TOPS MARKETS	0.122000	3.190633
13	BUFFALO/ROCHESTER - TOPS MARKETS	0.000000	3.198056
13	BUFFALO/ROCHESTER - TOPS MARKETS	0.039500	3.243229
13	BUFFALO/ROCHESTER - TOPS MARKETS	0.079333	3.227894
14	BUFFALO/ROCHESTER - WEGMANS	0.000000	3.359076
14	BUFFALO/ROCHESTER - WEGMANS	0.417000	2.683862
14	BUFFALO/ROCHESTER - WEGMANS	0.240667	2.653371
14	BUFFALO/ROCHESTER - WEGMANS	0.213667	3.389871
