RETAILER_ID	RETAILER	DISP	PRICE	VOLUME
1	ALBANY,NY - PRICE CHOPPER	0.000000	2.864821	614
1	ALBANY,NY - PRICE CHOPPER	0.345000	2.000184	5431
1	ALBANY,NY - PRICE CHOPPER	0.000000	3.052699	778
1	ALBANY,NY - PRICE CHOPPER	0.023500	3.018456	596
1	ALBANY,NY - PRICE CHOPPER	0.000000	2.928954	746
1	ALBANY,NY - PRICE CHOPPER	0.000000	3.020305	591
1	ALBANY,NY - PRICE CHOPPER	0.450000	2.220600	3631
1	ALBANY,NY - PRICE CHOPPER	0.000000	3.053245	601
1	ALBANY,NY - PRICE CHOPPER	0.000000	3.050847	649
1	ALBANY,NY - PRICE CHOPPER	0.000000	2.937611	561
1	ALBANY,NY - PRICE CHOPPER	0.000000	2.645033	755
1	ALBANY,NY - PRICE CHOPPER	0.000000	2.910584	548
1	ALBANY,NY - PRICE CHOPPER	0.000000	3.027068	665
1	ALBANY,NY - PRICE CHOPPER	0.000000	2.824675	616
1	ALBANY,NY - PRICE CHOPPER	0.128000	2.946203	632
1	ALBANY,NY - PRICE CHOPPER	0.093000	2.222007	3099
1	ALBANY,NY - PRICE CHOPPER	0.000000	2.787832	1923
1	ALBANY,NY - PRICE CHOPPER	0.000000	3.052997	1585
1	ALBANY,NY - PRICE CHOPPER	0.219500	2.222389	3332
1	ALBANY,NY - PRICE CHOPPER	0.000000	3.021614	694
1	ALBANY,NY - PRICE CHOPPER	0.917000	2.000000	6701
1	ALBANY,NY - PRICE CHOPPER	0.063000	2.843666	742
1	ALBANY,NY - PRICE CHOPPER	0.338500	2.222257	3190
1	ALBANY,NY - PRICE CHOPPER	0.000000	3.153499	443
1	ALBANY,NY - PRICE CHOPPER	0.000000	2.940840	524
1	ALBANY,NY - PRICE CHOPPER	0.345500	2.638776	980
1	ALBANY,NY - PRICE CHOPPER	0.000000	2.609848	792
1	ALBANY,NY - PRICE CHOPPER	0.000000	3.029605	608
1	ALBANY,NY - PRICE CHOPPER	0.496000	2.665960	943
1	ALBANY,NY - PRICE CHOPPER	0.000000	2.638983	590
1	ALBANY,NY - PRICE CHOPPER	0.000000	2.940945	508
1	ALBANY,NY - PRICE CHOPPER	0.122000	2.386476	1612
1	ALBANY,NY - PRICE CHOPPER	0.000000	2.937086	604
1	ALBANY,NY - PRICE CHOPPER	0.154713	2.888092	697
1	ALBANY,NY - PRICE CHOPPER	0.000000	3.053237	695
1	ALBANY,NY - PRICE CHOPPER	0.024000	3.016158	557
1	ALBANY,NY - PRICE CHOPPER	0.000000	2.883608	1031
1	ALBANY,NY - PRICE CHOPPER	0.091000	2.386649	1513
1	ALBANY,NY - PRICE CHOPPER	0.023500	3.022253	719
1	ALBANY,NY - PRICE CHOPPER	0.156000	2.222222	2547
1	ALBANY,NY - PRICE CHOPPER	0.182500	2.222636	2951
1	ALBANY,NY - PRICE CHOPPER	0.000000	2.821454	1417
1	ALBANY,NY - PRICE CHOPPER	0.000000	3.148387	465
1	ALBANY,NY - PRICE CHOPPER	0.000000	2.651325	717
1	ALBANY,NY - PRICE CHOPPER	0.037000	3.049759	623
1	ALBANY,NY - PRICE CHOPPER	0.000000	2.810510	628
1	ALBANY,NY - PRICE CHOPPER	0.000000	3.053797	632
1	ALBANY,NY - PRICE CHOPPER	0.252000	2.694074	3223
1	ALBANY,NY - PRICE CHOPPER	0.000000	2.859560	591
1	ALBANY,NY - PRICE CHOPPER	0.000000	3.051965	789
1	ALBANY,NY - PRICE CHOPPER	0.343500	2.219205	5561
2	ATLANTA - KROGER CO	0.000000	3.409365	3481
2	ATLANTA - KROGER CO	0.000000	3.045957	3982
2	ATLANTA - KROGER CO	0.106993	2.355856	6438
2	ATLANTA - KROGER CO	0.039784	3.382525	3754
2	ATLANTA - KROGER CO	0.046535	2.691097	6099
2	ATLANTA - KROGER CO	0.000000	3.022260	4133
2	ATLANTA - KROGER CO	0.000000	3.385883	3641
2	ATLANTA - KROGER CO	0.125667	2.438999	6672
2	ATLANTA - KROGER CO	0.000000	3.411846	3613
2	ATLANTA - KROGER CO	0.030872	2.944254	4090
2	ATLANTA - KROGER CO	0.049022	2.422273	6124
2	ATLANTA - KROGER CO	0.047422	2.395229	6414
2	ATLANTA - KROGER CO	0.044783	2.532607	5413
2	ATLANTA - KROGER CO	0.036066	3.148085	4126
2	ATLANTA - KROGER CO	0.000000	3.351024	3712
2	ATLANTA - KROGER CO	0.000000	3.419553	3089
2	ATLANTA - KROGER CO	0.000000	3.353194	3256
2	ATLANTA - KROGER CO	0.000000	2.968394	4651
2	ATLANTA - KROGER CO	0.224333	2.386632	7286
2	ATLANTA - KROGER CO	0.050326	3.209761	3299
2	ATLANTA - KROGER CO	0.046181	2.577868	4437
2	ATLANTA - KROGER CO	0.046483	2.675164	6080
2	ATLANTA - KROGER CO	0.000000	2.401482	6344
2	ATLANTA - KROGER CO	0.044894	2.473085	5796
2	ATLANTA - KROGER CO	0.037810	3.177914	3749
2	ATLANTA - KROGER CO	0.000000	3.039282	4455
2	ATLANTA - KROGER CO	0.000000	3.405931	3237
2	ATLANTA - KROGER CO	0.208000	2.376415	8395
2	ATLANTA - KROGER CO	0.000000	2.559499	5832
2	ATLANTA - KROGER CO	0.000000	3.378017	3894
2	ATLANTA - KROGER CO	0.000000	3.103511	3845
2	ATLANTA - KROGER CO	0.000000	2.701700	6118
2	ATLANTA - KROGER CO	0.038414	3.150000	4040
2	ATLANTA - KROGER CO	0.000000	3.018222	4116
2	ATLANTA - KROGER CO	0.045056	2.401338	6725
2	ATLANTA - KROGER CO	0.064216	2.416695	5834
2	ATLANTA - KROGER CO	0.000000	3.028441	3727
2	ATLANTA - KROGER CO	0.047333	2.656197	6495
2	ATLANTA - KROGER CO	0.049022	3.274361	4341
